ID,Category,Frage,Antwort1,Antwort2,Antwort3,Antwort4,Answer5,Answer6,Answer7,Answer8,Answer9,Answer10,RichtigeAnt1,CorrectAns2,CorrectAns3
1,PEOPLE & ORGANIZATION,Was ist die Vision von Continental?,Die Zukunft beginnt früher mit Continental,Wir vertrauen auf Continental,Ihre Mobilität. Ihre Freiheit. Unsere Signatur,Sicherheit. Mobilität. Infinity,NIL,NIL,NIL,NIL,NIL,NIL,Ihre Mobilität. Ihre Freiheit. Unsere Signatur,NIL,NIL
2,PEOPLE & ORGANIZATION,Welcher der folgenden Begriffe ist keiner der 4 Grundwerte von Continental?,A Passion To Win,Peace On Earth,Freiheit, Verbundenheit,NIL,NIL,NIL,NIL,NIL,NIL,Peace On Earth,NIL,NIL
3,PEOPLE & ORGANIZATION,Es gibt 4 grundsätzliche Leitlinien bei Continental. Welcher der folgenden Begriffe bezieht sich nicht darauf?,Vertrauen,A Passion To Win,Freiheit,Kreativität,NIL,NIL,NIL,NIL,NIL,NIL,Kreativität,NIL,NIL
4,PEOPLE & ORGANIZATION,Welcher der folgenden Begriffe entspricht keiner der 4 grundlegenden Leitlinien von Continental?,Verbundenheit,Versammlungsfreiheit,Vertrauen,Gewinnermentalität,NIL,NIL,NIL,NIL,NIL,NIL,Versammlungsfreiheit,NIL,NIL
5,PEOPLE & ORGANIZATION,Es gibt 4 grundsätzliche Leitlinien bei Continental. Welcher der folgenden Begriffe bezieht sich nicht darauf?,Freiheit, Vertrauen, Leidenschaft für Innovation,  Verbundenheit,NIL,NIL,NIL,NIL,NIL,NIL, Leidenschaft für Innovation,NIL,NIL
6,PEOPLE & ORGANIZATION,Was ist unter „Poka-Yoke“ zu verstehen?,Japanisch für „Hallo“," Witze reißen, um die Arbeitsatmosphäre aufzulockern", Schlechter Witz, Fehlervermeidung,NIL,NIL,NIL,NIL,NIL,NIL, Fehlervermeidung,NIL,NIL
7,PEOPLE & ORGANIZATION,"Wie heißt der japanische Begriff für Verfahren, die verhindern, dass Fehler zu Mängeln werden?",Poka Yoke, Kaizen, Jidoka, Kanban,NIL,NIL,NIL,NIL,NIL,NIL,Poka Yoke,NIL,NIL
8,PEOPLE & ORGANIZATION,Es gibt einen japanischen Ausdruck für „Fehlervermeidung“. Welcher ist es?,Sushi, Jidoka, Poka Yoke, Kaizen,NIL,NIL,NIL,NIL,NIL,NIL, Poka Yoke,NIL,NIL
9,PEOPLE & ORGANIZATION,Welche der folgenden Erklärungen ist eine schriftliche Beschreibung der auszuführenden Arbeit?,Positionsqualifikation, Positionsbeschreibung, Positionsanalyse, Positionsausschreibung,NIL,NIL,NIL,NIL,NIL,NIL, Positionsbeschreibung,NIL,NIL
10,PEOPLE & ORGANIZATION,Welcher der folgenden externen Einflüsse wird sich am wahrscheinlichsten auf das Personalwesen in einem Fertigungsunternehmen auswirken?,Finanzielle Engpässe, Einführung neuer Technologie, Behördliche Direktiven für Dienstleistungsbranchen, Änderung der Umweltgesetzgebung,NIL,NIL,NIL,NIL,NIL,NIL, Änderung der Umweltgesetzgebung,NIL,NIL
